Moment #1:
           t |     true value |     pred value |      abs error |      rel error
--------------------------------------------------------------------------------
  0.0000e+00 |   2.000000e+00 |   1.378554e+00 |   6.214459e-01 |   3.107229e-01
  1.0000e+00 |   1.000000e+00 |   6.846591e-01 |   3.153409e-01 |   3.153409e-01
  2.0000e+00 |   6.666667e-01 |   4.916460e-01 |   1.750206e-01 |   2.625309e-01
  3.0000e+00 |   5.000000e-01 |   4.135290e-01 |   8.647098e-02 |   1.729420e-01
  4.0000e+00 |   4.000000e-01 |   3.683087e-01 |   3.169132e-02 |   7.922831e-02
  5.0000e+00 |   3.333333e-01 |   3.477428e-01 |   1.440943e-02 |   4.322828e-02
  6.0000e+00 |   2.857143e-01 |   3.404893e-01 |   5.477498e-02 |   1.917124e-01
  7.0000e+00 |   2.500000e-01 |   3.292766e-01 |   7.927655e-02 |   3.171062e-01
  8.0000e+00 |   2.222222e-01 |   3.289147e-01 |   1.066925e-01 |   4.801164e-01
  9.0000e+00 |   2.000000e-01 |   3.258309e-01 |   1.258309e-01 |   6.291544e-01
  1.0000e+01 |   1.818182e-01 |   3.168571e-01 |   1.350389e-01 |   7.427141e-01
  1.1000e+01 |   1.666667e-01 |   3.153905e-01 |   1.487238e-01 |   8.923427e-01
  1.2000e+01 |   1.538462e-01 |   3.179391e-01 |   1.640929e-01 |   1.066604e+00
  1.3000e+01 |   1.428571e-01 |   3.168078e-01 |   1.739507e-01 |   1.217655e+00
  1.4000e+01 |   1.333333e-01 |   3.153898e-01 |   1.820565e-01 |   1.365423e+00
  1.5000e+01 |   1.250000e-01 |   3.165605e-01 |   1.915605e-01 |   1.532484e+00
  1.6000e+01 |   1.176471e-01 |   3.179580e-01 |   2.003110e-01 |   1.702643e+00
  1.7000e+01 |   1.111111e-01 |   3.145260e-01 |   2.034149e-01 |   1.830734e+00
  1.8000e+01 |   1.052632e-01 |   3.113257e-01 |   2.060625e-01 |   1.957594e+00
  1.9000e+01 |   1.000000e-01 |   3.140272e-01 |   2.140272e-01 |   2.140272e+00
  2.0000e+01 |   9.523810e-02 |   3.189218e-01 |   2.236837e-01 |   2.348679e+00
  2.1000e+01 |   9.090909e-02 |   3.200862e-01 |   2.291771e-01 |   2.520949e+00
  2.2000e+01 |   8.695652e-02 |   3.179373e-01 |   2.309807e-01 |   2.656279e+00
  2.3000e+01 |   8.333333e-02 |   3.193039e-01 |   2.359706e-01 |   2.831647e+00
  2.4000e+01 |   8.000000e-02 |   3.227761e-01 |   2.427761e-01 |   3.034701e+00
  2.5000e+01 |   7.692308e-02 |   3.241001e-01 |   2.471770e-01 |   3.213301e+00
  2.6000e+01 |   7.407407e-02 |   3.231183e-01 |   2.490442e-01 |   3.362097e+00
  2.7000e+01 |   7.142857e-02 |   3.251991e-01 |   2.537706e-01 |   3.552788e+00
  2.8000e+01 |   6.896552e-02 |   3.259988e-01 |   2.570333e-01 |   3.726983e+00
  2.9000e+01 |   6.666667e-02 |   3.262157e-01 |   2.595490e-01 |   3.893235e+00


Moment #2:
           t |     true value |     pred value |      abs error |      rel error
--------------------------------------------------------------------------------
  0.0000e+00 |   8.000000e+00 |   3.641725e+00 |   4.358275e+00 |   5.447843e-01
  1.0000e+00 |   2.000000e+00 |   8.976079e-01 |   1.102392e+00 |   5.511960e-01
  2.0000e+00 |   8.888889e-01 |   5.045781e-01 |   3.843108e-01 |   4.323496e-01
  3.0000e+00 |   5.000000e-01 |   3.751588e-01 |   1.248412e-01 |   2.496823e-01
  4.0000e+00 |   3.200000e-01 |   3.247149e-01 |   4.714858e-03 |   1.473393e-02
  5.0000e+00 |   2.222222e-01 |   3.086116e-01 |   8.638939e-02 |   3.887523e-01
  6.0000e+00 |   1.632653e-01 |   2.984949e-01 |   1.352296e-01 |   8.282814e-01
  7.0000e+00 |   1.250000e-01 |   2.933013e-01 |   1.683013e-01 |   1.346411e+00
  8.0000e+00 |   9.876543e-02 |   2.980442e-01 |   1.992787e-01 |   2.017697e+00
  9.0000e+00 |   8.000000e-02 |   2.734460e-01 |   1.934460e-01 |   2.418075e+00
  1.0000e+01 |   6.611570e-02 |   2.596299e-01 |   1.935142e-01 |   2.926902e+00
  1.1000e+01 |   5.555556e-02 |   2.741247e-01 |   2.185691e-01 |   3.934244e+00
  1.2000e+01 |   4.733728e-02 |   2.603803e-01 |   2.130431e-01 |   4.500535e+00
  1.3000e+01 |   4.081633e-02 |   2.532513e-01 |   2.124350e-01 |   5.204657e+00
